x,y,z
-40131.16734815233,-99214.50797520945,9013.839750672854
-129119.1428273453,-68536.31282424816,11727.9144709928
-139066.3266320431,-29081.44167997273,27366.54473745926
-154678.6407102499,-49329.63799218603,29517.14268840481
-127807.9923011686,-22072.72296657909,24817.38211478674
-114406.0904248488,-20416.27381843626,28261.38990782166
-124038.2508509214,-8932.83237234331,16177.2924466299
-143940.5834278696,-59947.82161642833,23332.90715551341
-100318.9703436925,-22158.33418851536,8470.967216770236
-35025.78396343316,-10083.00283250866,6783.150599140277
-111045.3625543163,-4504.059450146497,46391.36328125
-149556.6466414511,-71968.03094999104,20944.63426993173
-115280.7478302964,-4684.223882882078,43615.9855649456
-110332.5063410097,-29166.45968873361,28781.83353604368
-96469.81270623842,-59684.77583800496,26537.81096667567
-97151.09808159425,-30405.88931334659,23365.85138425401
-52797.78132694548,45263.58045871021,6297.083961977362
-172677.4360562265,-63693.30091220811,29557.22808281217
-142107.8719164773,-29010.15200585438,39312.85034308075
-152892.3797968649,-98900.41687175116,10323.1663198403
-85756.91267686074,-142768.5312893681,1777.755493164063
-54235.04944923431,49023.28842178884,6322.243250770215
-185414.4749994349,-70117.79265184628,26225.02078569445
-142426.9256594346,-46368.08116594065,6440.94873046875
-131542.1071245201,-66649.01409292818,7611.988151664473
-119167.7760247064,-78755.98076869917,8696.264007761683
-73581.82331223004,-127944.3971244042,1777.755493164063
-125767.3742882136,-121219.931766197,3301.88642265293
-193038.6195679337,-67286.57508463202,19115.95071733681
-161402.557110443,-30018.91431483315,6440.94873046875
-112819.7804635684,-59366.50946387546,37506.875
-50162.5354538953,-75698.60523005552,7460.846811930138
-94857.98115875742,-104965.5170654601,1777.755493164063
-87300.82764063301,-8816.130942952488,6301.871016927596
-100331.5475477468,-70872.75902435805,21220.36712865629
-114639.3149295983,-70711.84461637809,6440.94873046875
-122221.4645669769,-19362.47944398481,18758.46168830196
-58187.36963963554,8358.157293780072,6381.621219394947
-127538.3573367927,-69767.61241334009,20345.49859891218
-38546.49162895739,16336.63492755126,6280.185159738494
-20709.35252243338,-39502.60720784091,7619.710052491506
-137462.9174548848,-66552.99907259591,35806.68591393561
-47913.91153852334,-94639.80289771367,1777.755493164063
-152029.2515025944,-22512.35856265969,38099.86209952848
-5464.048170860197,-81934.26936935673,9005.918760685483
-126967.9164658962,-39621.84961243304,6956.211722799682
-125523.65292126,-20964.50040327156,27092.11042909632
-152222.5980412034,-32956.36716766497,37058.16149125042
-106791.0952287529,31532.76021065371,6305.499109429136
-16275.33360472494,-74853.48152584815,8627.344420747135
-101244.1658572514,-4450.095544420343,39892.62771356645
-147792.4745158135,-44508.14433144711,6440.94873046875
-89273.00285482152,20150.09620482867,6267.609438212239
-148315.9758921934,-31054.33119814123,46391.36328125
-110997.058918729,-27796.63517874967,19142.3774110913
-79919.1114744841,-64792.58186848684,6492.933088472615
-120678.5739260299,-42019.86904799409,26024.4051210347
-90104.13984841232,-47880.76597452959,26747.68127112593
-42307.56464111259,-49469.03658318488,7835.090310962939
-88786.47986211114,22913.23846867645,6280.935392897363
-50192.62018955566,-30489.50371802817,7190.204949334955
-135373.9205602394,-63500.19526479633,30536.3704664398
-105926.3244329819,-121663.7827340654,1777.755493164063
-123799.1631721328,-75218.10522674509,19976.94778562095
-127358.1562649194,-60761.81305614353,13753.57587696093
-86026.17980946266,-37776.80228975308,22842.15161237297
-34091.34135692398,-17179.29815200973,6951.847406186174
-145861.9582088088,-57021.94654825151,18362.017578125
