date,followers,username,tweet,lat,lon
Sat Jul 09 04:45:36 PDT 2016,71,Anastasie Vitt,SO AWESOME GUYS 💘 @ Moscow, Russia https://t.co/AUE5oecCP0,55.7522,37.6156
Fri Jul 08 13:49:35 PDT 2016,15,Мike,Завтра трансляция в 9:00 по Мск 🚨 #bigolive #live #life #amazing #awesome #wave #groove #world… https://t.co/62kVdqJsc5,55.7522,37.6156
Fri Jul 08 11:45:21 PDT 2016,20,Michael Pilikyan,restaurantblackthai #blackthai #niggasbelike #partyhard #best #party #awesome #amazing… https://t.co/LG18I0YBTR,55.76703,37.60782
Fri Jul 08 11:42:19 PDT 2016,20,Michael Pilikyan,#happiness #moscow #niggasbelike #partyhard #best #party #awesome #amazing #beautiful #cute… https://t.co/nxDf9P70P6,55.76703,37.60782
Fri Jul 08 09:46:12 PDT 2016,20,Michael Pilikyan,#moscow #football #niggasbelike #partyhard #best #party #awesome #amazing #beautiful #cute… https://t.co/wqllU0K59m,55.76225,37.62217
Fri Jul 08 09:43:20 PDT 2016,20,Michael Pilikyan,#moscow #football #pub #niggasbelike #partyhard #best #party #awesome #amazing #beautiful #cute… https://t.co/4pQf4k3WqV,55.76225,37.62217
Fri Jul 08 09:32:52 PDT 2016,20,Michael Pilikyan,#moscow #festival #niggasbelike #partyhard #best #party #awesome #amazing #beautiful #cute… https://t.co/pPHpFnLfKW,55.7522,37.6156
Fri Jul 08 09:29:18 PDT 2016,20,Michael Pilikyan,#moscow #festival #niggasbelike #partyhard #best #party #awesome #amazing #beautiful #cute… https://t.co/ciR6079MKT,55.7522,37.6156
Thu Jul 07 06:40:32 PDT 2016,156,Christina Lapitskaya,У счастья - сладкий вкус ☺️ 🍭🍮🍬🍫🍡 #tagsapp #l4l #awesome #nutella #rafaello #ferrerorocher #star… https://t.co/lkDC8Gdtb9,55.771667,37.620556
Wed Jul 06 18:04:39 PDT 2016,3369,The Best Ninja Tiger,#фотодня #vidoftheday #videooftheday #best #amazing #awesome #show #workout #love #look… https://t.co/vpl8M00FLv,55.65277,37.76703
Wed Jul 06 15:33:56 PDT 2016,3369,The Best Ninja Tiger,Over the pit in 2 jumps #фотодня #vidoftheday #videooftheday #best #amazing #awesome #show… https://t.co/4f4bWjPoJY,55.65277,37.76703
Wed Jul 06 09:37:17 PDT 2016,188,Alexey | Makarov,Awesome place 💨 @ HookahPlace RoofTop / Kuznetsky Most / KM https://t.co/AyrqwxNqoV,55.76248,37.62051
Wed Jul 06 03:15:11 PDT 2016,348,Brandon Boyd,Have to admit, the old Soviet symbol is quite awesome. @ Музеон Парк… https://t.co/6TwiQGEwUP,55.73628,37.6075
Tue Jul 05 12:19:22 PDT 2016,95,QieMie,Gegadis senior pulun yang super awesome posem baboom kebaboom… https://t.co/8YCruQR2wN,55.72032,37.516476
Mon Jul 04 02:42:26 PDT 2016,35302,Станислав Анисимов,#geometry of this building is awesome @ Телецентр "Останкино" https://t.co/rsIQ9UtIq5,55.822163,37.606327
Sun Jul 03 16:45:21 PDT 2016,63,Porcelain Doll,One more time this awesome place with the most awesome ppl!❤  #radisson #yacht #yachtparty… https://t.co/vxM7IfnIIx,55.729614,37.596764
Tue Jul 12 11:24:18 PDT 2016,112,Pavel Prikhodko,Сиреневый закат 🌸 Purple sunset @ Cathedral of Christ the Saviour https://t.co/T7DAufle91,55.744446,37.605556
Tue Jul 12 07:38:22 PDT 2016,196,yyy,Храм. #москва #moscow @ Cathedral of Christ the Saviour https://t.co/qS3wCcBohr,55.744446,37.605556
Mon Jul 11 12:24:20 PDT 2016,3093,Андрей Загудаев,#moscow @ Saint Basil's Cathedral https://t.co/ngZgHuIEn9,55.7525,37.623055
Mon Jul 11 11:08:03 PDT 2016,239,Jake Green,Just posted a photo @ Cathedral of Christ the Saviour https://t.co/pXt3NOfhGT,55.744446,37.605556
Mon Jul 11 10:33:06 PDT 2016,178,Jose Ernesto Luevano,Finalmente en Moscú 🕌🇷🇺 #Moscow #Mockba #saintbasilscathedral #Russia @ Saint Basil's Cathedral https://t.co/3Ofz4qnx6n,55.7525,37.623055
Mon Jul 11 08:04:09 PDT 2016,173,Salman,The Dormition Cathedral (Assumption Cathedral) @ Moscow Kremlin https://t.co/27xLwIX6Mf,55.751667,37.61778
Mon Jul 11 07:43:43 PDT 2016,169,SvetlanaSmith,LOVE ALL THIS STUFF ❤  #Moscow #Monday @ Cathedral of Christ the Saviour https://t.co/4vkPIJPXBw,55.744446,37.605556
Mon Jul 11 07:18:11 PDT 2016,1705,NEBO,video from https://t.co/X8CBtg6lAH | The Cathedral of Christ the Savior was built as gratitude to the… https://t.co/kpIHTsPh66,55.744446,37.605556
Mon Jul 11 01:05:32 PDT 2016,31671,MissMAYPAWEESUDA,Saint Basil's Cathedral 🕌 @ Red Square, Moscow (Красная площадь, Москва) https://t.co/9vRARt7ruN,55.7547,37.62143
Mon Jul 11 01:00:25 PDT 2016,1705,NEBO,photo from luxboom.ru | The Cathedral of Christ the Savior was built as gratitude to the… https://t.co/F8xTds8Shh,55.69094,37.59687
Sun Jul 10 23:46:08 PDT 2016,1417,Becca Jones,This place took my breath away.   #Moscow #russia #stbasils @ Saint Basil's Cathedral https://t.co/kH1SF9EQDC,55.7525,37.623055
Sun Jul 10 22:26:21 PDT 2016,402,bernadetta kusuma,Setelah berjuang naik Metro naik turun… (w/ Alfredo at St. Basil's Cathedral (Храм Василия Блаженного)) [pic] — https://t.co/jt3jQ5Ej0x,55.75296,37.62253
Sun Jul 10 22:23:10 PDT 2016,761,alfredo angelus w,Dreams come true 🙏🏻🙏🏻🙏🏻 (with Bernadetta at St. Basil's Cathedral (Храм Василия Блаженного)) [pic] — https://t.co/qxf3wbc3k6,55.75296,37.62253
Sun Jul 10 21:34:37 PDT 2016,2756,Zebulin Miller™,#Moscow #Russia #saintbasil @ Saint Basil's Cathedral https://t.co/OjO7wrz9VK,55.7525,37.623055
Sun Jul 10 16:48:33 PDT 2016,147,Настя,#москва @ Cathedral of Christ the Saviour https://t.co/hI5ExnTBmI,55.744446,37.605556
Sun Jul 10 07:51:04 PDT 2016,537,mitnyu,Stunning 🕌🇷🇺 @ Moscow Cathedral Mosque https://t.co/LkWzeJdGPp,55.779167,37.626945
Sun Jul 10 02:54:22 PDT 2016,151,pirozhochek,I'm at Соборная площадь / Cathedral Square in Москва https://t.co/nIzQ8rWCW1,55.750675,37.617443
Sat Jul 09 11:53:43 PDT 2016,364,Liza Orloff,Just posted a photo @ Cathedral of Christ the Saviour https://t.co/ptP5LtRTz2,55.744446,37.605556
